Emp.id,Employee Name,Role,Experience,Skill Set,No of Tasks Completed,Avg Time To Finish Tasks (in Days),SuccessFull Completions Percentage,Approved OnTime
616739279,Sindhu,DevOps Engineer,3,"Bash,Python,Ruby,Perl,JavaScript,Node.js",26,17,59.11262741,41.84004137
155718982,Mathew,Full-Stack Developer,12,"HTML/CSS,JavaScript,TypeScript ,Java,Python",51,19,23.98043776,78.27294683
732060536,Harini,Blockchain Developer,12,"C++,Java,JavaScript,Node.js,Python,Ruby,Swift",20,20,49.38893728,28.89525496
209483166,Surya,Cloud Engineer,8,"Python,Go (Golang),Ruby,JavaScript (Node.js),PHP (for certain cloud applications)",88,16,69.26319787,14.93495718
825313720,Anu,Web Developer,6,"HTML,CSS,JavaScript,TypeScript ,Python,Ruby ",81,21,94.71674383,46.92185106
164489922,sai panshul,UI/UX Designer,4,"HTML/CSS,JavaScript,TypeScript ,Sass or Less,JSON ",42,25,10.61295993,94.77791036
579816546,Sarah Roberts,Data Scientist,4,"Python,R,SQL",78,16,90.09636624,88.68433599
732265973,Adam Walker,Business Analyst,6,"SQL,Python,R",36,10,23.74797486,94.72823637
159888978,David Mitchell,Software Architect,7,"Java,C#,C++,Python",83,25,77.88431303,81.02099788
502085478,Ryan Davis,Front-End Developer,1,"HTML/CSS,JavaScript,TypeScript ",45,28,82.76291677,94.48856077
868974143,Jessica Turner,Game Developer,10,"C++,C#,JavaScript,Python",13,13,64.02528096,23.63809005
815490143,Michael Carter,Product Manager,11,"SQL,JavaScript,Python,R,HTML,CSS",63,10,66.38521444,85.78733893
605000304,Olivia Clark,Big Data Engineer,5,"Java,Scala,Python,SQL,R",26,13,65.56237067,4.052380274
646356537,Matthew Taylor,Software Architect,2,"Ruby,TypeScript,Go (Golang),Scala,Kotlin,Rust",19,11,2.641088867,12.62161013
241923555,"Megan Anderson
",DevOps Engineer,4,"Go (Golang),Python,Ruby,Perl,JavaScript,Node.js,AWS",61,29,47.64202704,45.65559004
553274304,Brian White,Back-End Developer,4,"SQL,NoSQL,HTML,CSS,JavaScript",15,14,17.74136714,93.5836143
794308076,Laura Martinez,Full-Stack Developer,15,"Python,Ruby,PHP,C#,Node.js,SQL ",19,10,5.272119177,9.27648422
456941697,Jason Thompson,AI Ethics Researcher,4,"Python,Julia,SAS,MATLAB,SQL ,Ruby",61,30,10.14082407,78.29804795
693705973,Alyssa Adams,Web Developer,13,"PHP,Java ,C# ,Node.js ,SQL ",87,10,59.01112504,38.90536892
233924418,Kevin Baker,Mobile App Developer,5,"Swift,Kotlin,Java,JavaScript,Dart",1,15,86.48241849,99.68497684
657054393,Natalie Wright,Game Developer,4,"C++,Java,Lua,Ruby,Haxe",54,24,84.69249016,96.7153737
646823391,Samuel Harris,Automation Engineer,10,"Python,Java,Ruby,JavaScript,C#",85,22,68.95009611,56.27877825
274393191,Amanda Young,Product Manager,4,"SQL,JavaScript,Python,R",80,24,35.61265202,52.50467322
401106769,Eric Murphy,Business Analyst,4,"Excel,SAS,R,Python",97,26,99.85888401,52.26750133
456415210,Jennifer Lewis,Cloud Engineer,13,"Java,PowerShell,Bash,C#",36,24,17.17157754,35.39001732
634774135,Tyler Foster,AI Ethics Researcher,14,"Python,Julia,SAS,MATLAB,SQL ,Ruby",61,26,21.46406146,81.07151707
236366324,Rachel Hill,UI/UX Designer,4,"JSON,XML,SVG,WebGL,SQL ",94,17,93.46216718,31.54702199
470319592,Patrick Miller,Front-End Developer,5,"HTML,CSS,JavaScript",84,29,60.12336941,18.38151143
521575817,Lauren Brown,DevOps Engineer,9,"Perl,JavaScript,Node.js,Go (Golang),Groovy",2,23,23.59836496,95.29204931
390803273,Christopher Lee,Big Data Engineer,8,"SQL,R,Pig Latin,HiveQL,Spark,JavaScript,Bash",75,19,55.12766205,35.26378258
190530391, Ashley Green,Full-Stack Developer,1,"HTML,CSS,JavaScript,TypeScript,Java,Python",64,18,54.83884866,3.800760035
908175568,Daniel Cooper,Front-End Developer,3,"HTML,CSS,JavaScript,TypeScript",25,17,90.26997116,10.05536507
