Emp.id,Employee Name,Role,Experience,Skill Set,No of Tasks Completed,Avg Time To Finish Tasks (in Days),SuccessFull Completions Percentage,Approved OnTime,Category,Inexpert_Assigned
155718982,Mathew,Full-Stack Developer,12,"HTML/CSS,JavaScript,TypeScript ,Java,Python",51,19,23.98043776,78.27294683,Expert,0
732060536,Harini,Blockchain Developer,12,"C++,Java,JavaScript,Node.js,Python,Ruby,Swift",20,20,49.38893728,28.89525496,Expert,0
209483166,Surya,Cloud Engineer,8,"Python,Go (Golang),Ruby,JavaScript (Node.js),PHP (for certain cloud applications)",88,16,69.26319787,14.93495718,Expert,1
825313720,Anu,Web Developer,6,"HTML,CSS,JavaScript,TypeScript ,Python,Ruby ",81,21,94.71674383,46.92185106,Expert,1
164489922,sai panshul,UI/UX Designer,4,"HTML/CSS,JavaScript,TypeScript ,Sass or Less,JSON ",42,25,10.61295993,94.77791036,Expert,1
579816546,Sarah Roberts,Data Scientist,4,"Python,R,SQL",78,16,90.09636624,88.68433599,Expert,2
732265973,Adam Walker,Business Analyst,6,"SQL,Python,R",36,10,23.74797486,94.72823637,Expert,2
159888978,David Mitchell,Software Architect,7,"Java,C#,C++,Python",83,25,77.88431303,81.02099788,Expert,2
868974143,Jessica Turner,Game Developer,10,"C++,C#,JavaScript,Python",13,13,64.02528096,23.63809005,Expert,3
815490143,Michael Carter,Product Manager,11,"SQL,JavaScript,Python,R,HTML,CSS",63,10,66.38521444,85.78733893,Expert,3
605000304,Olivia Clark,Big Data Engineer,5,"Java,Scala,Python,SQL,R",26,13,65.56237067,4.052380274,Expert,4
241923555,"Megan Anderson
",DevOps Engineer,4,"Go (Golang),Python,Ruby,Perl,JavaScript,Node.js,AWS",61,29,47.64202704,45.65559004,Expert,4
553274304,Brian White,Back-End Developer,4,"SQL,NoSQL,HTML,CSS,JavaScript",15,14,17.74136714,93.5836143,Expert,5
794308076,Laura Martinez,Full-Stack Developer,15,"Python,Ruby,PHP,C#,Node.js,SQL ",19,10,5.272119177,9.27648422,Expert,5
456941697,Jason Thompson,AI Ethics Researcher,4,"Python,Julia,SAS,MATLAB,SQL ,Ruby",61,30,10.14082407,78.29804795,Expert,5
693705973,Alyssa Adams,Web Developer,13,"PHP,Java ,C# ,Node.js ,SQL ",87,10,59.01112504,38.90536892,Expert,6
233924418,Kevin Baker,Mobile App Developer,5,"Swift,Kotlin,Java,JavaScript,Dart",1,15,86.48241849,99.68497684,Expert,6
657054393,Natalie Wright,Game Developer,4,"C++,Java,Lua,Ruby,Haxe",54,24,84.69249016,96.7153737,Expert,6
646823391,Samuel Harris,Automation Engineer,10,"Python,Java,Ruby,JavaScript,C#",85,22,68.95009611,56.27877825,Expert,7
274393191,Amanda Young,Product Manager,4,"SQL,JavaScript,Python,R",80,24,35.61265202,52.50467322,Expert,7
401106769,Eric Murphy,Business Analyst,4,"Excel,SAS,R,Python",97,26,99.85888401,52.26750133,Expert,7
456415210,Jennifer Lewis,Cloud Engineer,13,"Java,PowerShell,Bash,C#",36,24,17.17157754,35.39001732,Expert,8
634774135,Tyler Foster,AI Ethics Researcher,14,"Python,Julia,SAS,MATLAB,SQL ,Ruby",61,26,21.46406146,81.07151707,Expert,8
236366324,Rachel Hill,UI/UX Designer,4,"JSON,XML,SVG,WebGL,SQL ",94,17,93.46216718,31.54702199,Expert,8
470319592,Patrick Miller,Front-End Developer,5,"HTML,CSS,JavaScript",84,29,60.12336941,18.38151143,Expert,9
521575817,Lauren Brown,DevOps Engineer,9,"Perl,JavaScript,Node.js,Go (Golang),Groovy",2,23,23.59836496,95.29204931,Expert,9
390803273,Christopher Lee,Big Data Engineer,8,"SQL,R,Pig Latin,HiveQL,Spark,JavaScript,Bash",75,19,55.12766205,35.26378258,Expert,9
134957923,Maria Smith,Game Developer,5,"C++,C#,JavaScript,Python,Java",23,10,80.4560541,42.68851045,Expert,10
186047942,Anthony Davis,UI/UX Designer,6,"JSON ,XML,SVG,WebGL ,SQL ",15,28,83.64903568,16.30672646,Expert,11
733372124,Samantha Turner,Product Manager,9,"SQL,JavaScript,Python,R,Java",10,10,52.13692555,51.69181685,Expert,11
243095886,Joshua Wilson,Data Scientist,15,"Julia,Scala,SAS,MATLAB",60,26,10.32628208,90.60605136,Expert,11
